source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,-0.30,,0.045,1.40,-0.172,0.057,0.0404,0.0666,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,-0.20,,0.049,1.37,-0.102,0.060,0.0295,0.0415,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,-0.10,,0.048,1.40,-0.051,0.079,0.0184,0.0211,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,-0.05,,0.048,1.41,-0.032,0.094,0.0126,0.0115,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,-0.03,,0.048,1.43,-0.024,0.102,0.0093,0.0072,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.00,1,0.049,1.41,-0.020,0.120,0.0080,0.0031,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.00,2,0.054,1.39,-0.020,0.115,0.0066,0.0044,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.03,,0.043,1.45,-0.006,0.125,0.0043,-0.0014,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.05,,0.042,1.45,0.002,0.135,0.0006,-0.0057,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.10,,0.042,1.47,0.016,0.152,-0.0076,-0.0127,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.20,,0.043,1.48,0.043,0.197,-0.0259,-0.0229,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.30,,0.043,1.47,0.068,0.242,-0.0460,-0.0354,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,20,0.40,,0.035,1.50,0.085,0.274,-0.0706,-0.0469,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,-0.30,,0.043,1.58,-0.210,0.083,0.0054,0.0867,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,-0.20,,0.053,1.57,-0.142,0.086,-0.0007,0.0608,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,-0.10,,0.059,1.59,-0.085,0.098,-0.0091,0.0397,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,-0.05,,0.060,1.60,-0.057,0.104,-0.0145,0.0308,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,-0.03,,0.063,1.61,-0.046,0.102,-0.0170,0.0266,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.00,1,0.068,1.55,-0.032,0.102,-0.0182,0.0242,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.00,2,0.066,1.54,-0.036,0.107,-0.0179,0.0243,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.03,,0.066,1.54,-0.021,0.092,-0.0193,0.0183,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.05,,0.064,1.55,-0.007,0.099,-0.0203,0.0134,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.10,,0.062,1.58,0.028,0.109,-0.0173,0.0046,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.20,,0.058,1.59,0.042,0.158,-0.0026,-0.0175,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.30,,0.057,1.60,0.058,0.194,-0.0222,-0.0397,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,25,0.40,,0.048,1.63,0.082,0.222,-0.0456,-0.0552,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,-0.30,,0.043,1.72,-0.247,0.184,-0.0076,0.1025,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,-0.20,,0.055,1.73,-0.166,0.188,-0.0150,0.0769,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,-0.10,,0.060,1.74,-0.110,0.166,-0.0118,0.0594,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,-0.05,,0.061,1.76,-0.081,0.153,-0.0081,0.0480,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,-0.03,,0.061,1.75,-0.066,0.156,-0.0059,0.0406,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.00,1,0.065,1.73,-0.055,0.153,-0.0015,0.0344,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.00,2,0.066,1.74,-0.058,0.151,-0.0008,0.0352,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.03,,0.065,1.67,-0.045,0.120,0.0017,0.0268,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.05,,0.066,1.67,-0.032,0.119,0.0024,0.0195,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.10,,0.065,1.69,-0.007,0.117,0.0078,0.0084,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.20,,0.064,1.67,0.020,0.110,0.0143,-0.0130,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.30,,0.064,1.73,0.018,0.124,-0.0261,-0.0284,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,30,0.40,,0.054,1.80,0.034,0.115,-0.0387,-0.0445,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,-0.30,,0.058,1.87,-0.272,0.353,-0.0021,0.1051,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,-0.20,,0.065,1.82,-0.177,0.301,0.0061,0.0812,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,-0.10,,0.071,1.80,-0.109,0.227,0.0098,0.0604,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,-0.05,,0.071,1.83,-0.098,0.193,0.0171,0.0514,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,-0.03,,0.072,1.82,-0.089,0.159,0.0195,0.0464,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.00,1,0.075,1.82,-0.075,0.161,0.0224,0.0418,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.00,2,0.071,1.84,-0.072,0.169,0.0211,0.0445,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.03,,0.069,1.85,-0.063,0.136,0.0242,0.0343,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.05,,0.072,1.84,-0.053,0.125,0.0245,0.0244,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.10,,0.071,1.84,-0.028,0.101,0.0294,0.0129,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.20,,0.071,1.87,0.006,0.081,0.0141,-0.0083,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.30,,0.073,1.93,-0.015,0.062,-0.0049,-0.0280,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,35,0.40,,0.069,1.99,-0.035,0.013,-0.0120,-0.0476,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,-0.30,,0.065,1.91,-0.256,0.422,0.0143,0.1122,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,-0.20,,0.075,1.85,-0.170,0.356,0.0176,0.0861,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,-0.10,,0.080,1.84,-0.104,0.263,0.0185,0.0644,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,-0.05,,0.080,1.86,-0.102,0.216,0.0206,0.0550,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,-0.03,,0.084,1.88,-0.111,0.175,0.0227,0.0468,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,0.00,1,0.084,1.88,-0.106,0.172,0.0252,0.0443,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,0.00,2,0.078,1.91,-0.100,0.180,0.0246,0.0434,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,0.03,,0.087,1.82,-0.112,0.107,0.0262,0.0320,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,0.05,,0.083,1.86,-0.095,0.107,0.0250,0.0235,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,112,A49,40,0.10,,0.084,1.87,-0.071,0.078,0.0265,0.0122,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
