source_id,configuration,beta_deg,rudder_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.30,,0.027,0.78,0.089,0.053,-0.0762,-0.0153,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.40,,0.028,0.82,0.088,0.059,-0.1104,-0.0212,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,-0.40,,0.010,1.17,0.149,-0.126,0.0968,0.0363,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,-0.30,,0.013,1.11,0.148,-0.081,0.0693,0.0237,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,-0.20,,0.012,1.07,0.148,-0.042,0.0438,0.0134,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,-0.10,,0.010,1.05,0.148,-0.012,0.0197,0.0061,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,-0.05,,0.011,1.05,0.147,-0.001,0.0084,0.0030,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.00,1,0.025,0.95,0.130,-0.015,-0.0012,-0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.00,2,0.025,0.95,0.131,-0.016,0.0000,-0.0009,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.05,,0.013,1.07,0.148,0.023,-0.0109,-0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.10,,0.014,1.06,0.146,0.031,-0.0227,-0.0051,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.20,,0.018,1.06,0.142,0.052,-0.0475,-0.0118,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
