source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.30,,0.012,1.25,-0.069,0.138,0.0148,0.0247,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.20,,0.013,1.20,-0.074,0.107,0.0060,0.0155,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.10,,0.011,1.15,-0.062,0.064,0.0063,0.0054,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.05,,0.009,1.14,-0.050,0.035,0.0096,0.0023,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.00,1,0.015,1.10,-0.052,0.013,0.0028,-0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.00,2,0.016,1.09,-0.052,0.009,0.0049,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.05,,0.008,1.15,-0.048,0.010,-0.0045,-0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.10,,0.011,1.16,-0.062,-0.009,-0.0042,-0.0042,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.20,,0.014,1.17,-0.070,-0.056,-0.0019,-0.0131,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.30,,0.014,1.19,-0.065,-0.082,-0.0143,-0.0194,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,0.40,,0.015,1.23,-0.065,-0.112,-0.0347,-0.0248,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,-0.40,,0.023,1.31,-0.074,0.164,0.0311,0.0414,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,-0.30,,0.028,1.21,-0.075,0.138,0.0189,0.0314,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,-0.20,,0.031,1.13,-0.077,0.090,0.0128,0.0201,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,-0.10,,0.032,1.09,-0.071,0.051,0.0133,0.0065,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,-0.05,,0.032,1.07,-0.068,0.021,0.0183,0.0015,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.00,1,0.036,1.08,-0.071,0.012,0.0039,-0.0022,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.00,2,0.037,1.07,-0.072,0.013,0.0034,-0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.05,,0.032,1.12,-0.066,0.003,-0.0081,-0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.10,,0.032,1.13,-0.069,-0.021,-0.0065,-0.0076,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
