source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.40,,0.056,1.98,-0.382,-0.392,0.0100,-0.1293,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,-0.40,,0.046,2.23,-0.066,0.078,-0.0038,0.0957,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,-0.30,,0.060,2.16,-0.059,0.034,-0.0109,0.0448,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,-0.20,,0.063,2.05,-0.049,-0.013,-0.0111,0.0094,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,-0.10,,0.062,2.00,-0.050,-0.075,-0.0172,-0.0104,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,-0.05,,0.062,1.98,-0.076,-0.098,-0.0205,-0.0184,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,-0.03,,0.063,1.97,-0.100,-0.118,-0.0196,-0.0240,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.00,1,0.070,1.95,-0.123,-0.162,-0.0191,-0.0310,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.00,2,0.070,1.90,-0.118,-0.160,-0.0170,-0.0301,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.03,,0.066,1.95,-0.123,-0.154,-0.0170,-0.0388,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.05,,0.067,1.93,-0.129,-0.181,-0.0172,-0.0492,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.10,,0.069,1.92,-0.124,-0.253,-0.0156,-0.0666,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.20,,0.069,1.87,-0.165,-0.378,-0.0103,-0.0871,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.30,,0.065,1.94,-0.261,-0.466,-0.0067,-0.1175,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,40,0.40,,0.050,2.06,-0.392,-0.551,-0.0052,-0.1480,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,106,A43,45,-0.40,,0.057,2.25,-0.121,0.193,-0.0052,0.1241,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
