source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,0,66,A3,25,-0.40,,0.017,0.47,0.078,0.193,-0.0006,0.0212,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,-0.30,,0.018,0.45,0.075,0.168,-0.0005,0.0123,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,-0.20,,0.012,0.43,0.083,0.111,-0.0002,0.0083,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,-0.10,,0.008,0.42,0.086,0.069,-0.0002,0.0036,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,-0.05,,0.008,0.42,0.086,0.052,-0.0002,0.0019,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.00,1,0.019,0.35,0.075,0.004,0.0003,0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.00,2,0.020,0.35,0.075,0.005,0.0003,0.0000,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.05,,0.011,0.38,0.088,-0.016,-0.0004,0.0009,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.10,,0.012,0.37,0.087,-0.040,-0.0003,-0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.20,,0.018,0.37,0.080,-0.092,0.0002,-0.0057,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.30,,0.025,0.38,0.071,-0.148,0.0006,-0.0118,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,25,0.40,,0.024,0.41,0.070,-0.176,0.0010,-0.0206,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,-0.40,,0.008,0.51,0.112,0.091,0.0015,0.0510,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,-0.30,,0.011,0.49,0.099,0.094,0.0011,0.0369,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,-0.20,,0.008,0.50,0.089,0.042,0.0006,0.0248,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,-0.10,,0.005,0.48,0.083,0.062,-0.0001,0.0081,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,-0.05,,0.006,0.48,0.083,0.055,0.0000,0.0046,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.00,1,0.021,0.41,0.069,0.010,0.0005,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.00,2,0.022,0.41,0.070,0.011,0.0005,-0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.05,,0.012,0.49,0.082,-0.019,-0.0003,-0.0018,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.10,,0.014,0.49,0.084,-0.014,0.0000,-0.0069,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.20,,0.018,0.47,0.088,-0.010,-0.0001,-0.0230,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.30,,0.018,0.47,0.094,-0.068,-0.0005,-0.0365,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,30,0.40,,0.013,0.49,0.103,-0.085,-0.0006,-0.0513,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,-0.40,,0.013,0.58,0.108,0.109,0.0018,0.0622,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,-0.30,,0.016,0.56,0.098,0.080,0.0005,0.0445,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,-0.20,,0.015,0.54,0.093,0.054,0.0002,0.0306,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,-0.10,,0.007,0.55,0.081,0.030,0.0006,0.0154,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,-0.05,,0.007,0.54,0.079,0.021,0.0009,0.0105,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.00,1,0.019,0.49,0.068,-0.004,0.0008,0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.00,2,0.020,0.49,0.068,-0.003,0.0008,0.0007,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.05,,0.010,0.54,0.077,-0.025,0.0004,-0.0051,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.10,,0.010,0.53,0.081,0.000,0.0004,-0.0128,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.20,,0.016,0.52,0.093,-0.026,0.0004,-0.0319,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.30,,0.018,0.52,0.094,-0.061,-0.0004,-0.0522,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,35,0.40,,0.009,0.54,0.095,-0.091,-0.0023,-0.0778,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,-0.40,,0.017,0.65,0.054,0.280,-0.0004,0.0638,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,-0.30,,0.016,0.62,0.074,0.220,-0.0013,0.0435,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,-0.20,,0.006,0.59,0.092,0.136,-0.0005,0.0383,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,-0.10,,0.002,0.60,0.081,0.020,0.0017,0.0307,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,-0.05,,0.003,0.59,0.073,-0.011,0.0020,0.0223,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.00,1,0.013,0.55,0.068,-0.053,0.0014,0.0056,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.00,2,0.012,0.55,0.067,-0.054,0.0014,0.0068,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.05,,-0.004,0.64,0.079,-0.029,-0.0003,-0.0035,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.10,,-0.002,0.62,0.090,-0.014,0.0007,-0.0144,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.20,,0.011,0.61,0.092,-0.109,0.0016,-0.0294,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.30,,0.023,0.62,0.058,-0.208,0.0016,-0.0460,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,40,0.40,,0.025,0.60,0.043,-0.270,0.0000,-0.0757,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,-0.40,,0.012,0.74,0.060,0.345,-0.0001,0.0954,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,-0.30,,0.011,0.73,0.072,0.284,-0.0013,0.0684,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,-0.20,,0.006,0.68,0.092,0.222,-0.0001,0.0520,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,-0.10,,0.003,0.66,0.094,0.090,0.0021,0.0448,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,-0.05,,0.007,0.66,0.079,0.048,0.0017,0.0316,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.00,1,0.018,0.61,0.072,-0.005,-0.0004,0.0071,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.00,2,0.020,0.59,0.072,-0.009,-0.0003,0.0081,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.05,,0.007,0.68,0.084,-0.044,-0.0002,-0.0017,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.10,,0.002,0.71,0.098,-0.049,0.0008,-0.0154,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.20,,0.014,0.71,0.095,-0.154,0.0014,-0.0407,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.30,,0.018,0.70,0.075,-0.234,0.0011,-0.0726,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,45,0.40,,0.019,0.71,0.045,-0.334,-0.0002,-0.1071,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,-0.40,,0.005,0.76,0.077,0.374,0.0021,0.1301,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,-0.30,,0.006,0.74,0.091,0.290,0.0010,0.0913,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,-0.20,,0.003,0.68,0.088,0.242,0.0033,0.0766,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,-0.10,,0.003,0.66,0.095,0.185,0.0043,0.0616,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,-0.05,,0.005,0.66,0.096,0.123,0.0033,0.0468,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.00,1,0.018,0.62,0.087,0.044,-0.0001,0.0177,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.00,2,0.018,0.62,0.084,0.043,0.0000,0.0184,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.05,,0.006,0.71,0.104,0.040,-0.0013,0.0054,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.10,,0.008,0.69,0.100,-0.058,0.0001,-0.0102,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.20,,0.012,0.70,0.101,-0.183,-0.0015,-0.0614,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.30,,0.014,0.72,0.096,-0.245,-0.0003,-0.0910,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,50,0.40,,0.009,0.74,0.082,-0.349,-0.0016,-0.1352,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,-0.40,,-0.005,0.77,0.094,0.379,0.0029,0.1423,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,-0.30,,-0.003,0.74,0.100,0.296,0.0021,0.1099,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,-0.20,,-0.002,0.68,0.082,0.239,0.0036,0.0881,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,-0.10,,0.003,0.66,0.080,0.220,0.0060,0.0851,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,-0.05,,0.006,0.66,0.083,0.174,0.0055,0.0690,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,0.00,1,0.007,0.63,0.093,0.103,0.0044,0.0497,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,0.00,2,0.010,0.62,0.095,0.106,0.0048,0.0517,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,0.05,,-0.001,0.71,0.123,0.057,0.0003,0.0247,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,0.10,,-0.001,0.72,0.128,0.051,0.0019,0.0222,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,0.20,,0.002,0.70,0.098,-0.198,-0.0031,-0.0755,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,67,A4,55,0.30,,0.005,0.73,0.104,-0.260,-0.0010,-0.1026,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
