point,factor,mode,real_per_s,imag_rad_s,abs_difference_to_chosen
20,1,A+,-1.4114271001332619,0.99973820985176942,0.000E+000
20,1,A-,-1.4114271001332619,-0.99973820985176942,0.000E+000
20,0.33333333333333331,B+,-0.005993124595949556,0.11459469707491068,3.300E-007
20,0.33333333333333331,B-,-0.005993124595949556,-0.11459469707491068,3.300E-007
20,0.33333333333333331,C+,-0.13070940603575973,3.6503989542471293,1.313E-005
20,0.33333333333333331,C-,-0.13070940603575973,-3.6503989542471293,1.313E-005
20,0.33333333333333331,E,-0.14069177172131039,0,6.600E-007
20,0.33333333333333331,D,-0.38162000024784415,0,2.414E-007
20,0.33333333333333331,A+,-1.4114214516880979,0.99973330899948976,7.478E-006
20,0.33333333333333331,A-,-1.4114214516880979,-0.99973330899948976,7.478E-006
20,0.1,B+,-0.0059928899873601445,0.11459410958268372,3.243E-007
20,0.1,B-,-0.0059928899873601445,-0.11459410958268372,3.243E-007
20,0.1,C+,-0.130709328183213,3.6503943730323591,1.771E-005
20,0.1,C-,-0.130709328183213,-3.6503943730323591,1.771E-005
20,0.1,E,-0.14069152573820631,0,9.060E-007
20,0.1,D,-0.38162008850282508,0,3.296E-007
20,0.1,A+,-1.4114277653908793,0.99973991975453869,1.835E-006
20,0.1,A-,-1.4114277653908793,-0.99973991975453869,1.835E-006
20,0.03,B+,-0.0059930909090997143,0.11459318425382164,1.258E-006
20,0.03,B-,-0.0059930909090997143,-0.11459318425382164,1.258E-006
20,0.03,C+,-0.13070931272589487,3.650393007189165,1.908E-005
20,0.03,C-,-0.13070931272589487,-3.650393007189165,1.908E-005
20,0.03,E,-0.14069143992855546,0,9.918E-007
20,0.03,D,-0.38162012351602237,0,3.646E-007
20,0.03,A+,-1.4114375767361913,0.9997512698223594,1.674E-005
20,0.03,A-,-1.4114375767361913,-0.9997512698223594,1.674E-005
20,0.01,B+,-0.0059928311515613647,0.11459137369714022,3.059E-006
20,0.01,B-,-0.0059928311515613647,-0.11459137369714022,3.059E-006
20,0.01,C+,-0.13070928424816497,3.6503925955211654,1.949E-005
20,0.01,C-,-0.13070928424816497,-3.6503925955211654,1.949E-005
20,0.01,E,-0.14069144186391677,0,9.899E-007
20,0.01,D,-0.38162011033622439,0,3.515E-007
20,0.01,A+,-1.4114568704070816,0.99976967461034194,4.332E-005
20,0.01,A-,-1.4114568704070816,-0.99976967461034194,4.332E-005
20,0.003,B+,-0.0059954466681919512,0.1145969777048539,3.581E-006
20,0.003,B-,-0.0059954466681919512,-0.1145969777048539,3.581E-006
20,0.003,C+,-0.13070928949061356,3.6503924864611026,1.960E-005
20,0.003,C-,-0.13070928949061356,-3.6503924864611026,1.960E-005
20,0.003,E,-0.14069142148667324,0,1.010E-006
20,0.003,D,-0.38162012176454035,0,3.629E-007
20,0.003,A+,-1.4113944290017622,0.999703559109686,4.762E-005
20,0.003,A-,-1.4113944290017622,-0.999703559109686,4.762E-005
46,100,B+,-0.027082918187914327,0.14972045081492719,5.309E-003
46,100,B-,-0.027082918187914327,-0.14972045081492719,5.309E-003
46,100,C+,-0.12998077020258014,2.9036194331629321,2.351E-003
46,100,C-,-0.12998077020258014,-2.9036194331629321,2.351E-003
46,100,E,-0.19020347147374544,0,1.649E-005
46,100,D,-0.47678398046484272,0,3.141E-006
46,100,A+,-0.48152799824129155,1.3178205959930855,4.143E-003
46,100,A-,-0.48152799824129155,-1.3178205959930855,4.143E-003
46,30,B+,-0.028035358243582078,0.14492300008650211,4.188E-004
46,30,B-,-0.028035358243582078,-0.14492300008650211,4.188E-004
46,30,C+,-0.1299342148024924,2.9019610569842218,6.924E-004
46,30,C-,-0.1299342148024924,-2.9019610569842218,6.924E-004
46,30,E,-0.190215103489827,0,4.854E-006
46,30,D,-0.47678177281102968,0,9.336E-007
46,30,A+,-0.4808455265899253,1.3216008008309759,3.026E-004
46,30,A-,-0.4808455265899253,-1.3216008008309759,3.026E-004
46,10,B+,-0.028086713635906688,0.14455344534768991,4.566E-005
46,10,B-,-0.028086713635906688,-0.14455344534768991,4.566E-005
