sign,t_s,alpha_deg,beta_deg,p_rad_s,q_rad_s,r_rad_s,theta_deg,phi_deg,V_ft_s,heading_rate_rad_s
+,1680,1.029299920E+001,3.747920486E-003,-7.755686571E-004,1.486644953E-004,3.458355523E-003,1.507743111E+001,2.501502654E+000,3.825956469E+002,3.584960174E-003
+,1720,1.029270256E+001,4.324801204E-003,-8.952229720E-004,1.981716857E-004,3.991984208E-003,1.507100879E+001,2.888195465E+000,3.826608846E+002,4.139271806E-003
+,1760,1.029230717E+001,4.988860507E-003,-1.033045624E-003,2.640901094E-004,4.606916676E-003,1.506245628E+001,3.334179826E+000,3.827478077E+002,4.778657671E-003
+,1800,1.029177952E+001,5.752644169E-003,-1.191675957E-003,3.518221875E-004,5.315195113E-003,1.505106874E+001,3.848437844E+000,3.828636031E+002,5.516052744E-003
+,1840,1.029107521E+001,6.630243312E-003,-1.374084855E-003,4.685369119E-004,6.130530524E-003,1.503591004E+001,4.441304762E+000,3.830178451E+002,6.366366755E-003
+,1880,1.029013433E+001,7.637367109E-003,-1.583590964E-003,6.237526385E-004,7.068495186E-003,1.501573395E+001,5.124685838E+000,3.832233103E+002,7.346814909E-003
+,1920,1.028887612E+001,8.791354187E-003,-1.823863086E-003,8.301033433E-004,8.146723712E-003,1.498887795E+001,5.912320571E+000,3.834970714E+002,8.477326901E-003
+,1960,1.028719061E+001,1.011107989E-002,-2.098898452E-003,1.104376859E-003,9.385116026E-003,1.495312096E+001,6.820112107E+000,3.838620098E+002,9.781067051E-003
+,2000,1.028492687E+001,1.161668322E-002,-2.412956658E-003,1.468887847E-003,1.080603066E-002,1.490548454E+001,7.866549036E+000,3.843489269E+002,1.128510952E-002
+,2040,1.028187530E+001,1.332901592E-002,-2.770421376E-003,1.953401871E-003,1.243444891E-002,1.484195238E+001,9.073261340E+000,3.849995466E+002,1.302135228E-002
+,2080,1.027773984E+001,1.526860922E-002,-3.175535951E-003,2.597742260E-003,1.429807160E-002,1.475706865E+001,1.046577518E+001,3.858708739E+002,1.502777649E-002
