case,group,equilibrium,mode,amplitude,dt_s,duration_s,window_end_s,window_samples,predicted_re_per_s,predicted_im_rad_s,measured_sigma_modal,measured_omega_modal,measured_sigma_state,measured_omega_state,dominant_state,zero_crossings,extrema,wp3d_uncertainty,rate_error,rate_band,rate_agrees,frequency_error,frequency_band,frequency_agrees,reference_amplitude
B47-A,B,table_vii_47,A+,1E-06,0.01,20,9.84,493,0.81389939269760159,0.86792659682376949,0.813709638713285,0.86828998025175064,0.81393243173780783,0.86795647809983023,theta,3,3,5.476E-006,0.0001897539843165319,1.191E-002,,0.00036338342798114542,4.356E-003,,false
B47-A,B,table_vii_47,A+,1E-05,0.01,20,7,351,0.81389939269760159,0.86792659682376949,0.81376066229909227,0.86881018807944188,0.813905235922232,0.86793227771779358,theta,2,2,5.476E-006,0.00013873039850931246,1.191E-002,,0.000883591255672389,4.356E-003,,false
B47-A,B,table_vii_47,A+,0.0001,0.01,20,4.16,209,0.81389939269760159,0.86792659682376949,0.81391039513549779,0.8689762722095804,0.81388507931469534,,theta,1,2,5.476E-006,1.1002437896201478E-05,1.191E-002,true,0.0010496753858109109,4.356E-003,true,true
B47-A,B,table_vii_47,A+,0.001,0.01,20,1.34,68,0.81389939269760159,0.86792659682376949,0.81335287728006178,0.86802588417074289,,,theta,1,1,5.476E-006,0.0005465154175398057,1.191E-002,,9.9287346973397916E-05,4.356E-003,,false
B5-A,B,table_vii_5,A+,1E-06,0.01,25,17.34,868,0.461085426036408,1.1868683426447979,0.46109104761297021,1.1867129367962272,0.46115427163209582,1.1866906415904435,q,6,7,2.483E-006,5.6215765621980829E-06,1.274E-002,,0.00015540584857065554,5.942E-003,,false
B5-A,B,table_vii_5,A+,1E-05,0.01,25,12.36,619,0.461085426036408,1.1868683426447979,0.46113880486162734,1.1864523890966627,0.461264097989753,1.1864744152744915,q,4,5,2.483E-006,5.3378825219330128E-05,1.274E-002,,0.00041595354813517282,5.942E-003,,false
B5-A,B,table_vii_5,A+,0.0001,0.01,25,7.38,370,0.461085426036408,1.1868683426447979,0.46108767808889889,1.185457527799779,0.46136318208478633,1.1861538737623953,q,2,3,2.483E-006,2.2520524908808959E-06,1.274E-002,true,0.0014108148450189262,5.942E-003,true,true
B5-A,B,table_vii_5,A+,0.001,0.01,25,2.4,121,0.461085426036408,1.1868683426447979,0.45784120888472185,1.1687738353589339,,,q,1,1,2.483E-006,0.0032442171516861573,1.274E-002,,0.018094507285864037,5.942E-003,,false
B8-A,B,table_vii_8,A+,1E-06,0.01,60,60,3001,0.11540565619461118,1.3566137066171975,0.11540044674212303,1.3565983176589038,0.11540526331273261,1.3565785634404641,q,26,26,2.754E-006,5.20945248815019E-06,1.362E-002,,1.5388958293671706E-05,6.791E-003,,false
B8-A,B,table_vii_8,A+,1E-05,0.01,60,49.42,2472,0.11540565619461118,1.3566137066171975,0.11541213871302536,1.3564404370123495,0.11546904927153069,1.356285323634651,q,21,22,2.754E-006,6.4825184141747982E-06,1.362E-002,,0.00017326960484798093,6.791E-003,,false
